h_i_dict,loss,filter_mask
"{'N': 8000000, 'B': 334, 'K': 1856, 'lr': 0.001, 'end_lr': 0.1, 'momentum': 0.0, 'lr_schedule': 'cosine', 'optimizer': 'adamw', 'step_decay_schedule': 'na', 'C': 3680000}",3.3205113410949707,False
"{'N': 8000000, 'B': 183, 'K': 847, 'lr': 0.001, 'end_lr': 0.1, 'momentum': 0.0, 'lr_schedule': 'cosine', 'optimizer': 'adamw', 'step_decay_schedule': 'na', 'C': 920000}",3.763655185699463,False
"{'N': 4000000, 'B': 1434, 'K': 12258, 'lr': 0.001, 'end_lr': 0.1, 'momentum': 0.0, 'lr_schedule': 'cosine', 'optimizer': 'adamw', 'step_decay_schedule': 'na', 'C': 59000000}",2.9406659603118896,False
"{'N': 4000000, 'B': 783, 'K': 5594, 'lr': 0.001, 'end_lr': 0.1, 'momentum': 0.0, 'lr_schedule': 'cosine', 'optimizer': 'adamw', 'step_decay_schedule': 'na', 'C': 14700000}",3.0600175857543945,False
"{'N': 4000000, 'B': 428, 'K': 2563, 'lr': 0.001, 'end_lr': 0.1, 'momentum': 0.0, 'lr_schedule': 'cosine', 'optimizer': 'adamw', 'step_decay_schedule': 'na', 'C': 3680000}",3.27344274520874,False
"{'N': 4000000, 'B': 234, 'K': 1171, 'lr': 0.001, 'end_lr': 0.1, 'momentum': 0.0, 'lr_schedule': 'cosine', 'optimizer': 'adamw', 'step_decay_schedule': 'na', 'C': 920000}",3.6576504707336426,False
"{'N': 2000000, 'B': 1934, 'K': 18074, 'lr': 0.001, 'end_lr': 0.1, 'momentum': 0.0, 'lr_schedule': 'cosine', 'optimizer': 'adamw', 'step_decay_schedule': 'na', 'C': 59000000}",3.1012086868286133,False
"{'N': 2000000, 'B': 1056, 'K': 8246, 'lr': 0.001, 'end_lr': 0.1, 'momentum': 0.0, 'lr_schedule': 'cosine', 'optimizer': 'adamw', 'step_decay_schedule': 'na', 'C': 14700000}",3.190852642059326,False
"{'N': 2000000, 'B': 578, 'K': 3772, 'lr': 0.001, 'end_lr': 0.1, 'momentum': 0.0, 'lr_schedule': 'cosine', 'optimizer': 'adamw', 'step_decay_schedule': 'na', 'C': 3680000}",3.330634832382202,False
"{'N': 2000000, 'B': 316, 'K': 1724, 'lr': 0.001, 'end_lr': 0.1, 'momentum': 0.0, 'lr_schedule': 'cosine', 'optimizer': 'adamw', 'step_decay_schedule': 'na', 'C': 920000}",3.616412401199341,False
"{'N': 1000000, 'B': 848, 'K': 6201, 'lr': 0.001, 'end_lr': 0.1, 'momentum': 0.0, 'lr_schedule': 'cosine', 'optimizer': 'adamw', 'step_decay_schedule': 'na', 'C': 3680000}",3.5142624378204346,False
"{'N': 1000000, 'B': 463, 'K': 2838, 'lr': 0.001, 'end_lr': 0.1, 'momentum': 0.0, 'lr_schedule': 'cosine', 'optimizer': 'adamw', 'step_decay_schedule': 'na', 'C': 920000}",3.675530910491944,False
"{'N': 500000, 'B': 610, 'K': 4055, 'lr': 0.001, 'end_lr': 0.1, 'momentum': 0.0, 'lr_schedule': 'cosine', 'optimizer': 'adamw', 'step_decay_schedule': 'na', 'C': 920000}",3.869227886199951,False
"{'N': 250000, 'B': 865, 'K': 6368, 'lr': 0.001, 'end_lr': 0.1, 'momentum': 0.0, 'lr_schedule': 'cosine', 'optimizer': 'adamw', 'step_decay_schedule': 'na', 'C': 920000}",4.1438822746276855,False
