N,B,K,C,actual_N,D,nqs_loss,nn_loss,type,chin_loss,split,nqs_huber_loss,chin_huber_loss
10000000,6144,78,3700000,10171392.0,61341696,5.086537364419291,4.838035106658936,isotoken,3.305843850018709,train,4.958864842421223e-05,0.0003803169026178547
10000000,12288,39,3700000,10171392.0,61341696,5.773714424143865,5.4544453620910645,isotoken,3.305843850018709,train,5.638468211653808e-05,0.0005002391729879457
10000000,24,5000,920000,10171392.0,15360000,3.186537670933072,3.5472400188446045,isotoken,3.8391663792268513,train,0.0001067348838854229,7.858541266088132e-05
10000000,48,2500,920000,10171392.0,15360000,3.2596645073025146,3.5741004943847656,isotoken,3.8391663792268513,train,9.158925631213849e-05,7.104171976488555e-05
10000000,96,1250,920000,10171392.0,15360000,3.4340600339510097,3.652743577957153,isotoken,3.8391663792268513,train,6.12353058846788e-05,4.9276703860113125e-05
10000000,192,625,920000,10171392.0,15360000,3.700652977526783,3.828984260559082,isotoken,3.8391663792268513,train,3.359027740686188e-05,2.155692390607589e-06
10000000,384,313,920000,10171392.0,15384576,4.065410591919644,4.116951942443848,isotoken,3.838358363845184,train,1.209832524328952e-05,6.956830398842068e-05
10000000,768,156,920000,10171392.0,15335424,4.532344250935797,4.496960163116455,isotoken,3.839976222837234,train,7.33765112571011e-06,0.00015743547459185286
10000000,1536,78,920000,10171392.0,15335424,5.101063511015499,4.911468982696533,isotoken,3.839976222837234,train,3.7375970689863924e-05,0.0002456069042614019
10000000,3072,39,920000,10171392.0,15335424,5.782191698935172,5.477995872497559,isotoken,3.839976222837234,train,5.3543480106437115e-05,0.00035477314276074296
